,Survey,Year,Quarter,YearQuarter,DateTime,ShootLat,ShootLong,LngtClass_cm,CPUE_number_per_hour,Biomass_kg,Maturity
6754,NS-IBTS,1991,1,1,07-01-1991 03:19:00 PM,51.0833,2.0333,6.0,2.0,0.004434610771077842,0
6759,NS-IBTS,1991,1,1,07-01-1991 03:19:00 PM,51.0833,2.0333,15.0,2.0,0.04759048491255755,0
6758,NS-IBTS,1991,1,1,07-01-1991 03:19:00 PM,51.0833,2.0333,12.0,6.0,0.08010220127038807,0
6757,NS-IBTS,1991,1,1,07-01-1991 03:19:00 PM,51.0833,2.0333,10.0,2.0,0.016651132205755204,0
6756,NS-IBTS,1991,1,1,07-01-1991 03:19:00 PM,51.0833,2.0333,9.0,2.0,0.01267453013922385,0
6755,NS-IBTS,1991,1,1,07-01-1991 03:19:00 PM,51.0833,2.0333,8.0,2.0,0.009342149982123144,0
6762,NS-IBTS,1991,1,1,08-01-1991 07:45:00 AM,53.3,3.85,18.0,2.0,0.07631318106812097,1
6761,NS-IBTS,1991,1,1,08-01-1991 07:45:00 AM,53.3,3.85,14.0,2.0,0.03980296103188755,0
6760,NS-IBTS,1991,1,1,08-01-1991 07:45:00 AM,53.3,3.85,8.0,2.0,0.009342149982123144,0
6763,NS-IBTS,1991,1,1,08-01-1991 08:46:00 AM,53.3333,4.0167,16.0,2.0,0.05624896349766889,0
6764,NS-IBTS,1991,1,1,08-01-1991 11:15:00 AM,53.5333,4.1167,0.0,0.0,0.0,0
6769,NS-IBTS,1991,1,1,08-01-1991 02:17:00 PM,53.85,4.6833,17.0,2.0,0.06581221008453363,0
6767,NS-IBTS,1991,1,1,08-01-1991 02:17:00 PM,53.85,4.6833,14.0,4.0,0.0796059220637751,0
6766,NS-IBTS,1991,1,1,08-01-1991 02:17:00 PM,53.85,4.6833,11.0,2.0,0.021313306162896086,0
6765,NS-IBTS,1991,1,1,08-01-1991 02:17:00 PM,53.85,4.6833,8.0,2.0,0.009342149982123144,0
6768,NS-IBTS,1991,1,1,08-01-1991 02:17:00 PM,53.85,4.6833,16.0,2.0,0.05624896349766889,0
6770,NS-IBTS,1991,1,1,10-01-1991 08:30:00 AM,55.2833,4.5167,0.0,0.0,0.0,0
6771,NS-IBTS,1991,1,1,10-01-1991 09:46:00 AM,55.3667,4.7,15.0,2.0,0.04759048491255755,0
6772,NS-IBTS,1991,1,1,10-01-1991 09:46:00 AM,55.3667,4.7,19.0,2.0,0.08778404634629454,1
6773,NS-IBTS,1991,1,1,10-01-1991 12:48:00 PM,55.6333,5.25,13.0,4.0,0.06570327946452031,0
6774,NS-IBTS,1991,1,1,10-01-1991 12:48:00 PM,55.6333,5.25,14.0,8.0,0.1592118441275502,0
6775,NS-IBTS,1991,1,1,10-01-1991 02:42:00 PM,55.7833,5.6,14.0,4.0,0.0796059220637751,0
6776,NS-IBTS,1991,1,1,10-01-1991 02:42:00 PM,55.7833,5.6,18.0,4.0,0.15262636213624195,1
6777,NS-IBTS,1991,1,1,11-01-1991 07:38:00 AM,56.0167,5.7333,18.0,2.0,0.07631318106812097,1
6780,NS-IBTS,1991,1,1,11-01-1991 08:42:00 AM,56.0833,5.8667,20.0,2.0,0.10025625037369874,1
6779,NS-IBTS,1991,1,1,11-01-1991 08:42:00 AM,56.0833,5.8667,18.0,2.0,0.07631318106812097,1
6778,NS-IBTS,1991,1,1,11-01-1991 08:42:00 AM,56.0833,5.8667,7.0,2.0,0.0066107037102631555,0
6782,NS-IBTS,1991,1,1,11-01-1991 09:49:00 AM,56.1333,6.05,17.0,2.0,0.06581221008453363,0
6781,NS-IBTS,1991,1,1,11-01-1991 09:49:00 AM,56.1333,6.05,10.0,2.0,0.016651132205755204,0
6783,NS-IBTS,1991,1,1,11-01-1991 12:36:00 PM,56.15,6.6167,0.0,0.0,0.0,0
6784,NS-IBTS,1991,1,1,11-01-1991 03:01:00 PM,55.9333,6.5333,12.0,2.0,0.026700733756796022,0
6785,NS-IBTS,1991,1,1,11-01-1991 03:01:00 PM,55.9333,6.5333,14.0,2.0,0.03980296103188755,0
6786,NS-IBTS,1991,1,1,11-01-1991 03:01:00 PM,55.9333,6.5333,15.0,2.0,0.04759048491255755,0
6787,NS-IBTS,1991,1,1,11-01-1991 03:01:00 PM,55.9333,6.5333,17.0,2.0,0.06581221008453363,0
6795,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,16.0,4.0,0.11249792699533778,0
6796,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,17.0,2.0,0.06581221008453363,0
6788,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,4.0,2.0,0.0015515977693011255,0
6789,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,5.0,2.0,0.0027655153938040624,0
6790,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,6.0,4.0,0.008869221542155683,0
6791,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,7.0,10.0,0.033053518551315775,0
6794,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,13.0,2.0,0.03285163973226016,0
6793,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,9.0,2.0,0.01267453013922385,0
6792,NS-IBTS,1991,1,1,12-01-1991 07:35:00 AM,55.8833,6.9,8.0,6.0,0.028026449946369433,0
6798,NS-IBTS,1991,1,1,12-01-1991 08:40:00 AM,55.9167,7.0333,9.0,4.0,0.0253490602784477,0
6797,NS-IBTS,1991,1,1,12-01-1991 08:40:00 AM,55.9167,7.0333,7.0,4.0,0.013221407420526311,0
6801,NS-IBTS,1991,1,1,12-01-1991 09:56:00 AM,56.0167,7.1167,7.0,2.0,0.0066107037102631555,0
6802,NS-IBTS,1991,1,1,12-01-1991 09:56:00 AM,56.0167,7.1167,8.0,4.0,0.01868429996424629,0
6803,NS-IBTS,1991,1,1,12-01-1991 09:56:00 AM,56.0167,7.1167,9.0,2.0,0.01267453013922385,0
6804,NS-IBTS,1991,1,1,12-01-1991 09:56:00 AM,56.0167,7.1167,10.0,4.0,0.03330226441151041,0
6799,NS-IBTS,1991,1,1,12-01-1991 09:56:00 AM,56.0167,7.1167,5.0,2.0,0.0027655153938040624,0
6800,NS-IBTS,1991,1,1,12-01-1991 09:56:00 AM,56.0167,7.1167,6.0,2.0,0.004434610771077842,0
6805,NS-IBTS,1991,1,1,12-01-1991 12:34:00 PM,56.1,7.6,5.0,4.0,0.005531030787608125,0
6807,NS-IBTS,1991,1,1,12-01-1991 12:34:00 PM,56.1,7.6,11.0,4.0,0.04262661232579217,0
6806,NS-IBTS,1991,1,1,12-01-1991 12:34:00 PM,56.1,7.6,7.0,8.0,0.026442814841052622,0
6809,NS-IBTS,1991,1,1,12-01-1991 02:48:00 PM,55.8333,7.5667,9.0,18.0,0.11407077125301464,0
6812,NS-IBTS,1991,1,1,12-01-1991 02:48:00 PM,55.8333,7.5667,13.0,6.0,0.09855491919678047,0
6811,NS-IBTS,1991,1,1,12-01-1991 02:48:00 PM,55.8333,7.5667,11.0,12.0,0.12787983697737654,0
6810,NS-IBTS,1991,1,1,12-01-1991 02:48:00 PM,55.8333,7.5667,10.0,12.0,0.09990679323453122,0
6808,NS-IBTS,1991,1,1,12-01-1991 02:48:00 PM,55.8333,7.5667,7.0,6.0,0.01983211113078947,0
6813,NS-IBTS,1991,1,1,13-01-1991 07:29:00 AM,54.1333,8.0667,10.0,2.0,0.016651132205755204,0
6814,NS-IBTS,1991,1,1,13-01-1991 08:32:00 AM,54.0833,7.95,0.0,0.0,0.0,0
6815,NS-IBTS,1991,1,1,13-01-1991 09:46:00 AM,54.0333,7.7667,0.0,0.0,0.0,0
6816,NS-IBTS,1991,1,1,13-01-1991 12:39:00 PM,53.9667,7.2667,15.0,4.0,0.0951809698251151,0
6952,NS-IBTS,1991,1,1,13-01-1991 12:53:00 PM,53.1167,1.75,0.0,0.0,0.0,0
6817,NS-IBTS,1991,1,1,13-01-1991 02:47:00 PM,53.85,7.0167,0.0,0.0,0.0,0
6820,NS-IBTS,1991,1,1,14-01-1991 07:35:00 AM,54.2333,6.7167,16.0,2.0,0.05624896349766889,0
6818,NS-IBTS,1991,1,1,14-01-1991 07:35:00 AM,54.2333,6.7167,8.0,2.0,0.009342149982123144,0
