,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Clupea_harengus_juvenile,Clupea_harengus_adult,YearQuarter
5145,NS-IBTS,1991,1,07-01-1991 03:19:00 PM,51.0833,2.0333,30,0.0,1.2505588717378733,1
5166,NS-IBTS,1991,1,08-01-1991 07:45:00 AM,53.3,3.85,23,0.09265590583671192,1.4911504434521352,1
5167,NS-IBTS,1991,1,08-01-1991 08:46:00 AM,53.3333,4.0167,24,0.0,1.3342416094024228,1
5168,NS-IBTS,1991,1,08-01-1991 11:15:00 AM,53.5333,4.1167,28,0.0,0.0,1
5169,NS-IBTS,1991,1,08-01-1991 02:17:00 PM,53.85,4.6833,38,0.0,0.9548605231184945,1
5185,NS-IBTS,1991,1,10-01-1991 08:30:00 AM,55.2833,4.5167,45,0.0,12.449748794659872,1
5186,NS-IBTS,1991,1,10-01-1991 09:46:00 AM,55.3667,4.7,45,0.0,17.664178064325004,1
5187,NS-IBTS,1991,1,10-01-1991 12:48:00 PM,55.6333,5.25,47,2.10050379957464,158.48872758932015,1
5188,NS-IBTS,1991,1,10-01-1991 02:42:00 PM,55.7833,5.6,47,10.251416990379639,36.20667929092349,1
5200,NS-IBTS,1991,1,11-01-1991 07:38:00 AM,56.0167,5.7333,48,3.892876218910631,16.801502799948345,1
5201,NS-IBTS,1991,1,11-01-1991 08:42:00 AM,56.0833,5.8667,45,2.5475967787082565,9.619341300007951,1
5202,NS-IBTS,1991,1,11-01-1991 09:49:00 AM,56.1333,6.05,45,1.3945543377851704,4.657959713846254,1
5203,NS-IBTS,1991,1,11-01-1991 12:36:00 PM,56.15,6.6167,37,1.3030780389008574,3.4771233922976763,1
5204,NS-IBTS,1991,1,11-01-1991 03:01:00 PM,55.9333,6.5333,38,1.4456557773923335,2.1266325960406696,1
5221,NS-IBTS,1991,1,12-01-1991 07:35:00 AM,55.8833,6.9,35,1.8052520665413787,7.516702403828045,1
5222,NS-IBTS,1991,1,12-01-1991 08:40:00 AM,55.9167,7.0333,29,0.9893483708878705,6.841178625857291,1
5223,NS-IBTS,1991,1,12-01-1991 09:56:00 AM,56.0167,7.1167,27,0.8903234515421875,3.2002871952494547,1
5224,NS-IBTS,1991,1,12-01-1991 12:34:00 PM,56.1,7.6,28,14.367252367129986,86.5481720569461,1
5225,NS-IBTS,1991,1,12-01-1991 02:48:00 PM,55.8333,7.5667,16,28.94020262566835,122.77337742722852,1
5250,NS-IBTS,1991,1,13-01-1991 07:29:00 AM,54.1333,8.0667,22,1.977772186606272,0.6085346596079267,1
5251,NS-IBTS,1991,1,13-01-1991 08:32:00 AM,54.0833,7.95,32,1.221840173217638,0.9339678797543421,1
5252,NS-IBTS,1991,1,13-01-1991 09:46:00 AM,54.0333,7.7667,35,0.2091325240084197,0.0,1
5253,NS-IBTS,1991,1,13-01-1991 12:39:00 PM,53.9667,7.2667,25,0.434318846820414,0.8263690755633768,1
5254,NS-IBTS,1991,1,13-01-1991 12:53:00 PM,53.1167,1.75,32,0.029024314772799896,0.1289674893438974,1
5255,NS-IBTS,1991,1,13-01-1991 02:47:00 PM,53.85,7.0167,20,0.07206663091376153,1.2257127903912854,1
5277,NS-IBTS,1991,1,14-01-1991 07:35:00 AM,54.2333,6.7167,35,0.26920089166272704,9.388370834813752,1
5278,NS-IBTS,1991,1,14-01-1991 09:32:00 AM,54.0833,6.4167,30,0.8869761536997451,7.716383546253204,1
5279,NS-IBTS,1991,1,14-01-1991 12:17:00 PM,53.8667,6.3,24,1.5838516107584941,3.1072334537221398,1
5280,NS-IBTS,1991,1,14-01-1991 02:29:00 PM,53.8333,6.6333,18,0.44228037599345454,0.8786475055446378,1
