,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Eutrigla_gurnardus_juvenile,Eutrigla_gurnardus_adult,YearQuarter
7,NS-IBTS,1977,1,10-02-1977 07:10:00 AM,57.75,5.5833,115,0.0,0.0,1
8,NS-IBTS,1977,1,14-02-1977 12:13:00 PM,54.9167,7.8333,17,0.0,0.0,1
9,NS-IBTS,1977,1,14-02-1977 02:25:00 PM,54.75,7.5833,18,0.0,0.0,1
10,NS-IBTS,1977,1,14-02-1977 04:43:00 PM,54.6667,7.75,16,0.0,0.0,1
11,NS-IBTS,1977,1,15-02-1977 07:33:00 AM,54.4167,7.8333,20,0.0,0.0,1
12,NS-IBTS,1977,1,15-02-1977 09:57:00 AM,54.3333,7.4667,28,0.0,0.0,1
13,NS-IBTS,1977,1,15-02-1977 12:05:00 PM,54.3,7.15,37,0.0,0.0,1
14,NS-IBTS,1977,1,15-02-1977 01:57:00 PM,54.3167,6.8667,34,0.0,0.0,1
15,NS-IBTS,1977,1,15-02-1977 04:30:00 PM,54.55,6.5333,36,0.036106942984043496,0.0,1
16,NS-IBTS,1977,1,16-02-1977 07:20:00 AM,55.1667,3.6667,37,0.0,0.0,1
17,NS-IBTS,1977,1,16-02-1977 12:20:00 PM,55.1,2.8333,23,0.0,0.0,1
18,NS-IBTS,1977,1,16-02-1977 01:28:00 PM,55.25,2.5333,34,0.0,0.0,1
19,NS-IBTS,1977,1,16-02-1977 03:17:00 PM,55.3333,2.1667,38,0.0,0.0,1
20,NS-IBTS,1977,1,17-02-1977 07:20:00 AM,55.2667,1.4333,56,0.0,0.2327528657623523,1
21,NS-IBTS,1977,1,17-02-1977 01:15:00 PM,55.3,0.5,83,0.0,0.38826323661406575,1
22,NS-IBTS,1977,1,17-02-1977 04:05:00 PM,55.6,0.4,79,0.0,2.737261671134968,1
23,NS-IBTS,1977,1,18-02-1977 11:47:00 AM,55.7,2.5667,77,0.0,2.854355353304481,1
24,NS-IBTS,1977,1,18-02-1977 03:47:00 PM,55.6333,3.35,43,0.0,0.0,1
25,NS-IBTS,1977,1,20-02-1977 06:35:00 AM,57.1833,7.2667,64,0.0,0.41219150841857166,1
26,NS-IBTS,1977,1,20-02-1977 09:25:00 AM,57.1333,6.4333,63,0.02206292029922505,0.0,1
27,NS-IBTS,1977,1,20-02-1977 12:55:00 PM,57.25,5.7333,66,0.0,0.2327528657623523,1
28,NS-IBTS,1977,1,20-02-1977 04:49:00 PM,57.3333,4.8667,66,0.0,0.0,1
29,NS-IBTS,1977,1,21-02-1977 05:30:00 AM,57.8667,4.55,98,0.016544631059204215,0.48273948323329946,1
30,NS-IBTS,1977,1,21-02-1977 08:23:00 AM,58.1333,4.2667,139,0.0,0.3286039812159555,1
31,NS-IBTS,1977,1,21-02-1977 12:20:00 PM,58.3667,3.5833,118,0.0,0.0,1
32,NS-IBTS,1977,1,21-02-1977 02:35:00 PM,58.5833,3.45,115,0.0,0.0,1
33,NS-IBTS,1977,1,21-02-1977 05:35:00 PM,58.6667,2.8333,114,0.0,0.0,1
34,NS-IBTS,1977,1,22-02-1977 05:20:00 AM,58.3333,2.3167,80,0.0,2.2232477981992713,1
35,NS-IBTS,1977,1,22-02-1977 08:10:00 AM,58.3333,1.6,109,0.0,14.720640912284502,1
36,NS-IBTS,1977,1,22-02-1977 11:25:00 AM,58.45,0.8167,142,0.0,0.0,1
37,NS-IBTS,1977,1,22-02-1977 01:32:00 PM,58.6167,0.7667,146,0.0,0.0,1
38,NS-IBTS,1977,1,22-02-1977 04:25:00 PM,58.7833,1.2167,107,0.0,0.0,1
39,NS-IBTS,1977,1,26-02-1977 05:25:00 AM,59.6167,-0.3333,133,0.0,0.8819264220642502,1
40,NS-IBTS,1977,1,26-02-1977 09:45:00 AM,59.2667,-0.4333,139,0.0,3.4032395449982458,1
41,NS-IBTS,1977,1,26-02-1977 12:40:00 PM,59.2333,-1.3333,109,0.0,10.4925132583256,1
42,NS-IBTS,1977,1,26-02-1977 04:22:00 PM,59.0667,-2.0333,72,0.0,0.0,1
43,NS-IBTS,1977,1,27-02-1977 05:20:00 AM,59.4167,-3.8333,144,0.0,3.861505924173218,1
44,NS-IBTS,1977,1,27-02-1977 02:35:00 PM,59.7667,-2.6667,83,0.0,0.4636679126999199,1
