,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Gadus_morhua_juvenile,Gadus_morhua_adult,YearQuarter
7,NS-IBTS,1977,1,10-02-1977 07:10:00 AM,57.75,5.5833,115,0.7253232572364265,54.23705553346348,1
8,NS-IBTS,1977,1,14-02-1977 12:13:00 PM,54.9167,7.8333,17,0.06286607383531823,0.0,1
9,NS-IBTS,1977,1,14-02-1977 02:25:00 PM,54.75,7.5833,18,0.06520917238489965,0.0,1
10,NS-IBTS,1977,1,14-02-1977 04:43:00 PM,54.6667,7.75,16,0.6173197689857558,0.0,1
11,NS-IBTS,1977,1,15-02-1977 07:33:00 AM,54.4167,7.8333,20,0.06823722115258045,0.0,1
12,NS-IBTS,1977,1,15-02-1977 09:57:00 AM,54.3333,7.4667,28,0.02993412598843495,0.0,1
13,NS-IBTS,1977,1,15-02-1977 12:05:00 PM,54.3,7.15,37,0.676532538787436,8.75105546242765,1
14,NS-IBTS,1977,1,15-02-1977 01:57:00 PM,54.3167,6.8667,34,4.055061471973522,0.0,1
15,NS-IBTS,1977,1,15-02-1977 04:30:00 PM,54.55,6.5333,36,0.059518149819502354,33.56247119213818,1
16,NS-IBTS,1977,1,16-02-1977 07:20:00 AM,55.1667,3.6667,37,0.2993818997369558,0.0,1
17,NS-IBTS,1977,1,16-02-1977 12:20:00 PM,55.1,2.8333,23,0.0,0.0,1
18,NS-IBTS,1977,1,16-02-1977 01:28:00 PM,55.25,2.5333,34,0.18096464995232361,0.0,1
19,NS-IBTS,1977,1,16-02-1977 03:17:00 PM,55.3333,2.1667,38,0.19770778341948697,0.0,1
20,NS-IBTS,1977,1,17-02-1977 07:20:00 AM,55.2667,1.4333,56,0.045793918863750956,0.0,1
21,NS-IBTS,1977,1,17-02-1977 01:15:00 PM,55.3,0.5,83,2.10924744820625,17.615536605545145,1
22,NS-IBTS,1977,1,17-02-1977 04:05:00 PM,55.6,0.4,79,0.0,0.0,1
23,NS-IBTS,1977,1,18-02-1977 06:55:00 AM,55.65,1.6,73,0.06823722115258045,0.0,1
24,NS-IBTS,1977,1,18-02-1977 11:47:00 AM,55.7,2.5667,77,0.3699324831715619,1.8775108954892992,1
25,NS-IBTS,1977,1,18-02-1977 03:47:00 PM,55.6333,3.35,43,0.0,0.0,1
26,NS-IBTS,1977,1,20-02-1977 06:35:00 AM,57.1833,7.2667,64,0.04700628096000222,2.444314318597063,1
27,NS-IBTS,1977,1,20-02-1977 09:25:00 AM,57.1333,6.4333,63,0.5029473230524503,24.038388383025254,1
28,NS-IBTS,1977,1,20-02-1977 12:55:00 PM,57.25,5.7333,66,0.16771325063159717,27.27677259659246,1
29,NS-IBTS,1977,1,20-02-1977 04:49:00 PM,57.3333,4.8667,66,0.44352287314873423,0.0,1
30,NS-IBTS,1977,1,21-02-1977 05:30:00 AM,57.8667,4.55,98,0.22202919243603408,17.327092892073416,1
31,NS-IBTS,1977,1,21-02-1977 08:23:00 AM,58.1333,4.2667,139,0.0,7.873055525245849,1
32,NS-IBTS,1977,1,21-02-1977 12:20:00 PM,58.3667,3.5833,118,0.0,35.77893755590702,1
33,NS-IBTS,1977,1,21-02-1977 02:35:00 PM,58.5833,3.45,115,0.0,68.25523865288912,1
34,NS-IBTS,1977,1,21-02-1977 05:35:00 PM,58.6667,2.8333,114,0.0,35.67464685178161,1
35,NS-IBTS,1977,1,22-02-1977 05:20:00 AM,58.3333,2.3167,80,0.3574857492097367,0.0,1
36,NS-IBTS,1977,1,22-02-1977 08:10:00 AM,58.3333,1.6,109,0.0,32.42044347436565,1
37,NS-IBTS,1977,1,22-02-1977 11:25:00 AM,58.45,0.8167,142,0.0,41.879348471333785,1
38,NS-IBTS,1977,1,22-02-1977 01:32:00 PM,58.6167,0.7667,146,1.48764465939888,26.187407927143994,1
39,NS-IBTS,1977,1,22-02-1977 04:25:00 PM,58.7833,1.2167,107,0.0,3.816549707019775,1
40,NS-IBTS,1977,1,26-02-1977 05:25:00 AM,59.6167,-0.3333,133,0.0,4.255927249611865,1
41,NS-IBTS,1977,1,26-02-1977 09:45:00 AM,59.2667,-0.4333,139,0.0,9.460333400971468,1
42,NS-IBTS,1977,1,26-02-1977 12:40:00 PM,59.2333,-1.3333,109,0.0,10.156706782900923,1
43,NS-IBTS,1977,1,26-02-1977 04:22:00 PM,59.0667,-2.0333,72,0.0,0.0,1
44,NS-IBTS,1977,1,27-02-1977 05:20:00 AM,59.4167,-3.8333,144,0.0,0.0,1
45,NS-IBTS,1977,1,27-02-1977 02:35:00 PM,59.7667,-2.6667,83,0.0,3.5092384765654603,1
46,NS-IBTS,1977,1,27-02-1977 05:35:00 PM,59.7667,-1.9167,108,0.0,0.0,1
0,NS-IBTS,1977,1,01-03-1977 02:52:00 PM,60.2833,0.35,143,0.0,32.27410219585851,1
1,NS-IBTS,1977,1,01-03-1977 06:40:00 PM,60.3667,1.25,140,0.0,0.0,1
2,NS-IBTS,1977,1,02-03-1977 05:25:00 AM,60.6667,1.1,140,0.022896959431875478,6.84211402698231,1
3,NS-IBTS,1977,1,03-03-1977 08:00:00 AM,60.75,0.7333,152,0.0,18.591318974358046,1
4,NS-IBTS,1977,1,03-03-1977 12:43:00 PM,61.2333,0.8333,163,0.0,0.0,1
5,NS-IBTS,1977,1,03-03-1977 04:37:00 PM,61.3667,1.2833,167,0.0,7.889910321023429,1
6,NS-IBTS,1977,1,03-03-1977 09:55:00 PM,61.2333,2.1333,142,0.0,0.0,1
245,NS-IBTS,1978,1,30-01-1978 06:30:00 PM,52.8,4.1833,25,4.384358577409665,153.5403517316714,2
246,NS-IBTS,1978,1,31-01-1978 07:40:00 AM,54.2833,1.45,46,0.0,0.0,2
247,NS-IBTS,1978,1,31-01-1978 10:37:00 AM,54.6333,1.1833,39,0.0,0.0,2
248,NS-IBTS,1978,1,31-01-1978 01:45:00 PM,54.7333,0.4333,76,0.41140918849854774,0.6139744201269283,2
47,NS-IBTS,1978,1,01-02-1978 07:35:00 AM,55.7833,-1.45,69,0.5032940648003924,0.0,2
48,NS-IBTS,1978,1,01-02-1978 10:25:00 AM,55.8333,-0.7667,80,0.0,0.0,2
49,NS-IBTS,1978,1,01-02-1978 02:35:00 PM,55.7333,0.25,78,0.0,0.0,2
59,NS-IBTS,1978,1,02-02-1978 07:27:00 AM,54.2333,0.5,62,0.0,17.525767609215947,2
