,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Limanda_limanda_juvenile,Limanda_limanda_adult,YearQuarter
4800,NS-IBTS,1991,1,07-01-1991 03:19:00 PM,51.0833,2.0333,30,0.0,54.060163945378626,1
4821,NS-IBTS,1991,1,08-01-1991 07:45:00 AM,53.3,3.85,23,0.6647537206257926,39.8928678503386,1
4822,NS-IBTS,1991,1,08-01-1991 08:46:00 AM,53.3333,4.0167,24,0.8412625587783356,52.03093752467693,1
4823,NS-IBTS,1991,1,08-01-1991 11:15:00 AM,53.5333,4.1167,28,0.018632514298973314,14.672404708576106,1
4824,NS-IBTS,1991,1,08-01-1991 02:17:00 PM,53.85,4.6833,38,0.0,16.45362098019664,1
4840,NS-IBTS,1991,1,10-01-1991 08:30:00 AM,55.2833,4.5167,45,0.0210355864644725,10.536700065469276,1
4841,NS-IBTS,1991,1,10-01-1991 09:46:00 AM,55.3667,4.7,45,0.024502293928770964,35.29195949172685,1
4842,NS-IBTS,1991,1,10-01-1991 12:48:00 PM,55.6333,5.25,47,0.0,55.28690364539318,1
4843,NS-IBTS,1991,1,10-01-1991 02:42:00 PM,55.7833,5.6,47,0.041321598713291496,14.424237306271085,1
4855,NS-IBTS,1991,1,11-01-1991 07:38:00 AM,56.0167,5.7333,48,0.18391367638151082,9.749575715196512,1
4856,NS-IBTS,1991,1,11-01-1991 08:42:00 AM,56.0833,5.8667,45,0.5068771019621794,47.192215012934476,1
4857,NS-IBTS,1991,1,11-01-1991 09:49:00 AM,56.1333,6.05,45,0.6913627741826338,47.153081093250016,1
4858,NS-IBTS,1991,1,11-01-1991 12:36:00 PM,56.15,6.6167,37,0.18647265120285345,13.726030390082938,1
4859,NS-IBTS,1991,1,11-01-1991 03:01:00 PM,55.9333,6.5333,38,0.32734220204216063,13.550907992931755,1
4876,NS-IBTS,1991,1,12-01-1991 07:35:00 AM,55.8833,6.9,35,1.5394372837871932,12.45659806657947,1
4877,NS-IBTS,1991,1,12-01-1991 08:40:00 AM,55.9167,7.0333,29,2.5109155741137807,9.51031478789835,1
4878,NS-IBTS,1991,1,12-01-1991 09:56:00 AM,56.0167,7.1167,27,0.07886805071048997,5.7660510051253295,1
4879,NS-IBTS,1991,1,12-01-1991 12:34:00 PM,56.1,7.6,28,3.299806219398143,23.121546531124636,1
4880,NS-IBTS,1991,1,12-01-1991 02:48:00 PM,55.8333,7.5667,16,6.703055469292124,81.14925289626481,1
4905,NS-IBTS,1991,1,13-01-1991 07:29:00 AM,54.1333,8.0667,22,0.018773225998599236,7.568032149809181,1
4906,NS-IBTS,1991,1,13-01-1991 08:32:00 AM,54.0833,7.95,32,0.15957242098809352,40.29776802204357,1
4907,NS-IBTS,1991,1,13-01-1991 09:46:00 AM,54.0333,7.7667,35,0.03754645199719847,9.734211903926743,1
4908,NS-IBTS,1991,1,13-01-1991 12:39:00 PM,53.9667,7.2667,25,1.2292536467390571,14.356810602625634,1
4909,NS-IBTS,1991,1,13-01-1991 12:53:00 PM,53.1167,1.75,32,0.028159838997898857,4.276716182773266,1
4910,NS-IBTS,1991,1,13-01-1991 02:47:00 PM,53.85,7.0167,20,0.11242828844215653,22.155548975007328,1
4932,NS-IBTS,1991,1,14-01-1991 07:35:00 AM,54.2333,6.7167,35,0.34929031575692526,45.877690363734786,1
4933,NS-IBTS,1991,1,14-01-1991 09:32:00 AM,54.0833,6.4167,30,0.04045587909685933,52.66427679365762,1
4934,NS-IBTS,1991,1,14-01-1991 12:17:00 PM,53.8667,6.3,24,0.0,39.346160047425485,1
4935,NS-IBTS,1991,1,14-01-1991 02:29:00 PM,53.8333,6.6333,18,0.14079919498949428,47.560693534666065,1
4952,NS-IBTS,1991,1,15-01-1991 07:40:00 AM,55.2833,5.3833,39,0.12069600435794314,21.935670651960606,1
4953,NS-IBTS,1991,1,15-01-1991 09:33:00 AM,55.1,5.6333,40,0.17742185466987126,68.35623976072966,1
4954,NS-IBTS,1991,1,15-01-1991 12:39:00 PM,54.7667,5.6333,40,0.0,25.751022832611433,1
4955,NS-IBTS,1991,1,15-01-1991 03:14:00 PM,54.7167,5.1667,40,0.33733174633123586,15.7152530466535,1
4964,NS-IBTS,1991,1,16-01-1991 07:45:00 AM,54.8167,4.5167,43,0.26282516398038935,35.24751122001063,1
4965,NS-IBTS,1991,1,16-01-1991 09:50:00 AM,54.6833,4.6167,44,0.15018580798879388,49.22696036159775,1
4966,NS-IBTS,1991,1,16-01-1991 12:29:00 PM,54.4167,4.6167,44,0.0,41.78019552835485,1
4967,NS-IBTS,1991,1,16-01-1991 12:41:00 PM,53.95,5.45,31,0.197118872985292,91.36636102261666,1
4968,NS-IBTS,1991,1,16-01-1991 03:01:00 PM,54.1333,4.4167,44,0.0,82.3276067013851,1
4975,NS-IBTS,1991,1,17-01-1991 07:40:00 AM,54.3333,5.6,38,0.1809287575525268,14.216468609525107,1
4976,NS-IBTS,1991,1,17-01-1991 09:40:00 AM,54.15,5.4833,38,0.1727323408868243,13.226221210632676,1
4977,NS-IBTS,1991,1,17-01-1991 02:57:00 PM,53.7333,5.25,26,0.3285314549754867,195.3477688950829,1
4993,NS-IBTS,1991,1,20-01-1991 07:44:00 AM,52.6,4.3,19,0.028089483148085893,6.131601067748617,1
4994,NS-IBTS,1991,1,20-01-1991 09:37:00 AM,52.75,3.9667,24,0.0,3.32625342169985,1
4995,NS-IBTS,1991,1,20-01-1991 12:44:00 PM,52.4667,4.0833,20,0.06980497102808415,2.860988200443643,1
4996,NS-IBTS,1991,1,20-01-1991 03:02:00 PM,52.3667,3.85,22,0.0,8.073072362294983,1
5005,NS-IBTS,1991,1,21-01-1991 07:39:00 AM,51.6667,2.1333,43,0.0,11.077418885642453,1
5006,NS-IBTS,1991,1,21-01-1991 07:54:00 AM,61.2333,0.4833,160,0.0,0.0,1
5007,NS-IBTS,1991,1,21-01-1991 10:28:00 AM,51.9,1.8167,34,0.0,2.2836667318161856,1
5008,NS-IBTS,1991,1,21-01-1991 11:33:00 AM,60.7667,0.5833,140,0.0,0.0,1
5009,NS-IBTS,1991,1,21-01-1991 01:21:00 PM,52.0667,1.9167,26,0.0,5.901986759112314,1
5010,NS-IBTS,1991,1,21-01-1991 02:23:00 PM,60.7,1.15,140,0.0,0.0,1
5011,NS-IBTS,1991,1,21-01-1991 03:30:00 PM,52.2,2.1333,46,0.0,7.977059669804817,1
5012,NS-IBTS,1991,1,21-01-1991 05:45:00 PM,61.05,1.2333,140,0.0,0.0,1
5022,NS-IBTS,1991,1,22-01-1991 07:44:00 AM,53.4667,0.9,19,0.0995951979231679,65.64616445222487,1
5023,NS-IBTS,1991,1,22-01-1991 09:13:00 AM,60.3167,2.3667,100,0.0,2.545300826335057,1
5024,NS-IBTS,1991,1,22-01-1991 12:23:00 PM,53.8167,0.85,35,0.0,53.28574270272775,1
5025,NS-IBTS,1991,1,22-01-1991 12:50:00 PM,60.5833,3.0667,154,0.0,0.24021774707905003,1
5026,NS-IBTS,1991,1,22-01-1991 02:26:00 PM,53.9,1.2167,34,0.0,21.784483754201773,1
5027,NS-IBTS,1991,1,22-01-1991 03:46:00 PM,60.6167,2.6167,108,0.0,3.891076835113869,1
5028,NS-IBTS,1991,1,22-01-1991 07:41:00 PM,61.0667,2.4333,140,0.0,0.0,1
5029,NS-IBTS,1991,1,23-01-1991 07:47:00 AM,54.2167,0.2167,57,0.0,13.299450112664212,1
5030,NS-IBTS,1991,1,23-01-1991 10:24:00 AM,54.4833,0.0,62,0.0,27.97175154250634,1
5031,NS-IBTS,1991,1,23-01-1991 11:10:00 AM,60.1333,3.15,147,0.0,0.0,1
5032,NS-IBTS,1991,1,23-01-1991 12:53:00 PM,54.7667,-0.3167,63,0.0,10.72178842185165,1
5033,NS-IBTS,1991,1,23-01-1991 02:20:00 PM,59.7667,3.1167,129,0.0,0.0,1
5034,NS-IBTS,1991,1,23-01-1991 03:20:00 PM,54.8333,0.0167,70,0.0,28.395591504585994,1
5035,NS-IBTS,1991,1,23-01-1991 05:22:00 PM,59.6667,2.4833,110,0.0,0.8959488112119061,1
5036,NS-IBTS,1991,1,24-01-1991 07:27:00 AM,55.4,6.5,40,0.7418541026643822,27.275351410370252,1
5037,NS-IBTS,1991,1,24-01-1991 07:51:00 AM,55.4167,-0.6333,82,0.0,8.647111067405104,1
5038,NS-IBTS,1991,1,24-01-1991 08:00:00 AM,60.2167,1.6667,107,0.0,9.915434317235661,1
5039,NS-IBTS,1991,1,24-01-1991 09:55:00 AM,55.3667,-1.1,98,0.0,4.814479770078644,1
5040,NS-IBTS,1991,1,24-01-1991 10:13:00 AM,55.3833,7.2833,15,0.18442003131567247,10.286204987833703,1
5041,NS-IBTS,1991,1,24-01-1991 11:50:00 AM,60.15,0.7667,140,0.0,0.0,1
5042,NS-IBTS,1991,1,24-01-1991 12:51:00 PM,55.3167,8.0333,16,0.2432168762950455,9.068135426503881,1
5043,NS-IBTS,1991,1,24-01-1991 12:59:00 PM,55.7167,-1.2667,69,0.0,9.466515328263512,1
5044,NS-IBTS,1991,1,24-01-1991 02:37:00 PM,59.8167,0.6833,120,0.0,2.895808453789564,1
5045,NS-IBTS,1991,1,24-01-1991 03:26:00 PM,54.9167,7.8667,20,1.9133861590190726,174.61221752760258,1
5046,NS-IBTS,1991,1,24-01-1991 03:43:00 PM,55.8333,-0.7667,71,0.0,60.38075585863118,1
5047,NS-IBTS,1991,1,25-01-1991 06:36:00 AM,59.6833,1.35,102,0.0,2.4427877649273597,1
5048,NS-IBTS,1991,1,25-01-1991 07:33:00 AM,54.7,6.5,41,0.1550808698712941,201.93926309145058,1
5049,NS-IBTS,1991,1,25-01-1991 07:44:00 AM,55.1167,0.9167,63,0.0,48.24055160694414,1
5050,NS-IBTS,1991,1,25-01-1991 09:30:00 AM,54.9333,1.0167,57,0.0,81.0134015723538,1
5051,NS-IBTS,1991,1,25-01-1991 09:53:00 AM,59.3167,1.45,98,0.0,0.9644450716492402,1
5052,NS-IBTS,1991,1,25-01-1991 11:28:00 AM,54.2833,5.6,42,0.09386612999299618,29.71338969085577,1
5053,NS-IBTS,1991,1,25-01-1991 12:50:00 PM,59.2667,0.7667,124,0.0,0.14087217350989753,1
5054,NS-IBTS,1991,1,25-01-1991 02:22:00 PM,54.4167,1.5167,54,0.0,21.04252731389583,1
5055,NS-IBTS,1991,1,25-01-1991 02:43:00 PM,54.25,4.6833,48,0.0,130.44676552387287,1
5056,NS-IBTS,1991,1,25-01-1991 03:54:00 PM,58.9333,0.8167,126,0.0,1.0035170669529443,1
5059,NS-IBTS,1991,1,26-01-1991 06:31:00 AM,59.3667,2.15,116,0.0,0.19613188578591975,1
5060,NS-IBTS,1991,1,26-01-1991 07:37:00 AM,54.85,2.5,22,0.0,71.84959063680529,1
5061,NS-IBTS,1991,1,26-01-1991 07:45:00 AM,53.75,3.4667,38,0.0,48.34693153553753,1
5062,NS-IBTS,1991,1,26-01-1991 09:14:00 AM,55.0167,2.7167,21,0.0,46.44739977846428,1
5063,NS-IBTS,1991,1,26-01-1991 10:36:00 AM,58.8,2.5333,110,0.0,0.3478764937941802,1
5064,NS-IBTS,1991,1,26-01-1991 11:05:00 AM,54.25,2.7333,42,0.0,20.083750440529975,1
5065,NS-IBTS,1991,1,26-01-1991 12:17:00 PM,55.0667,3.2167,24,0.0228015501817731,21.98201996956387,1
5066,NS-IBTS,1991,1,26-01-1991 01:18:00 PM,58.8667,3.15,110,0.0,2.0132400362555294,1
5067,NS-IBTS,1991,1,26-01-1991 02:08:00 PM,54.3667,3.5167,47,0.0,2.2804437281287706,1
5068,NS-IBTS,1991,1,26-01-1991 02:41:00 PM,54.75,3.4333,40,0.0,15.98450619276993,1
5069,NS-IBTS,1991,1,26-01-1991 04:38:00 PM,59.2833,3.1333,134,0.0,0.16549051015491437,1
5070,NS-IBTS,1991,1,26-01-1991 05:29:00 PM,54.65,2.7667,23,0.10523705953757496,58.53422079878044,1
5072,NS-IBTS,1991,1,27-01-1991 07:44:00 AM,54.7667,3.7333,47,0.02697058606457289,9.993174926819815,1
5073,NS-IBTS,1991,1,27-01-1991 07:46:00 AM,55.55,0.8333,78,0.0,93.1849094569878,1
5074,NS-IBTS,1991,1,27-01-1991 09:34:00 AM,55.6167,1.2167,76,0.0,46.93404606837977,1
5075,NS-IBTS,1991,1,27-01-1991 10:28:00 AM,55.2333,3.4833,30,0.0,19.79813226802106,1
5076,NS-IBTS,1991,1,27-01-1991 12:54:00 PM,55.4333,1.7667,66,0.0,38.237688010087375,1
5077,NS-IBTS,1991,1,27-01-1991 01:24:00 PM,55.2667,2.6,39,0.0,11.573347539344532,1
5078,NS-IBTS,1991,1,27-01-1991 01:56:00 PM,58.1167,3.65,85,0.0,1.6856217333506047,1
5079,NS-IBTS,1991,1,27-01-1991 03:28:00 PM,55.55,2.3,67,0.0,21.905584765926957,1
5080,NS-IBTS,1991,1,27-01-1991 05:18:00 PM,55.2667,1.45,59,0.0,121.24436198238666,1
5081,NS-IBTS,1991,1,27-01-1991 05:37:00 PM,58.2,2.7333,66,0.0,51.615533353400465,1
5086,NS-IBTS,1991,1,28-01-1991 06:26:00 AM,56.25,1.45,83,0.0,25.180188483332152,1
5087,NS-IBTS,1991,1,28-01-1991 07:38:00 AM,53.9167,2.65,37,0.0,14.72369245326006,1
