,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Merlangius_merlangus_juvenile,Merlangius_merlangus_adult,YearQuarter
7,NS-IBTS,1977,1,10-02-1977 07:10:00 AM,57.75,5.5833,115,0.0,2.4555700081665455,1
8,NS-IBTS,1977,1,14-02-1977 12:13:00 PM,54.9167,7.8333,17,0.38972885876981234,0.0,1
9,NS-IBTS,1977,1,14-02-1977 02:25:00 PM,54.75,7.5833,18,0.18908761384069656,0.0,1
10,NS-IBTS,1977,1,14-02-1977 04:43:00 PM,54.6667,7.75,16,3.0883825481816576,0.0,1
11,NS-IBTS,1977,1,15-02-1977 07:33:00 AM,54.4167,7.8333,20,0.163081179782622,0.0,1
12,NS-IBTS,1977,1,15-02-1977 09:57:00 AM,54.3333,7.4667,28,0.23645599149850863,0.0,1
13,NS-IBTS,1977,1,15-02-1977 12:05:00 PM,54.3,7.15,37,2.7303653900108964,44.116812290626214,1
14,NS-IBTS,1977,1,15-02-1977 01:57:00 PM,54.3167,6.8667,34,28.777199563120604,0.0,1
15,NS-IBTS,1977,1,15-02-1977 04:30:00 PM,54.55,6.5333,36,27.012833932670105,1.8910166620429545,1
16,NS-IBTS,1977,1,16-02-1977 07:20:00 AM,55.1667,3.6667,37,0.22733937556338069,0.0,1
17,NS-IBTS,1977,1,16-02-1977 12:20:00 PM,55.1,2.8333,23,0.03873130742183087,0.0,1
18,NS-IBTS,1977,1,16-02-1977 01:28:00 PM,55.25,2.5333,34,0.9385808667816564,0.18503663559543038,1
19,NS-IBTS,1977,1,16-02-1977 03:17:00 PM,55.3333,2.1667,38,1.7681444791385017,0.3251119438949085,1
20,NS-IBTS,1977,1,17-02-1977 07:20:00 AM,55.2667,1.4333,56,10.028003414937569,0.555109906786291,1
21,NS-IBTS,1977,1,17-02-1977 01:15:00 PM,55.3,0.5,83,3.572568172638742,2.5065252527851705,1
22,NS-IBTS,1977,1,17-02-1977 04:05:00 PM,55.6,0.4,79,1.5919638261446574,2.671104828696241,1
23,NS-IBTS,1977,1,18-02-1977 06:55:00 AM,55.65,1.6,73,7.974253478702899,3.281973589832467,1
24,NS-IBTS,1977,1,18-02-1977 11:47:00 AM,55.7,2.5667,77,4.8292351401223925,0.42154790997346286,1
25,NS-IBTS,1977,1,18-02-1977 03:47:00 PM,55.6333,3.35,43,0.04050627756062786,0.0,1
26,NS-IBTS,1977,1,20-02-1977 06:35:00 AM,57.1833,7.2667,64,1.4636838326750912,0.21077395498673143,1
27,NS-IBTS,1977,1,20-02-1977 09:25:00 AM,57.1333,6.4333,63,5.289889078609268,2.912725796958787,1
28,NS-IBTS,1977,1,20-02-1977 12:55:00 PM,57.25,5.7333,66,10.666154260043763,4.560902990432993,1
29,NS-IBTS,1977,1,20-02-1977 04:49:00 PM,57.3333,4.8667,66,6.118489764418949,0.9992355373054141,1
30,NS-IBTS,1977,1,21-02-1977 05:30:00 AM,57.8667,4.55,98,0.9913187537534841,30.11755175040785,1
31,NS-IBTS,1977,1,21-02-1977 08:23:00 AM,58.1333,4.2667,139,0.0,15.138684274399,1
32,NS-IBTS,1977,1,21-02-1977 12:20:00 PM,58.3667,3.5833,118,0.48259445012200275,3.3551483618095177,1
33,NS-IBTS,1977,1,21-02-1977 02:35:00 PM,58.5833,3.45,115,0.10005522973799771,20.74307915927562,1
34,NS-IBTS,1977,1,21-02-1977 05:35:00 PM,58.6667,2.8333,114,0.4493444244739345,2.6599599855488734,1
35,NS-IBTS,1977,1,22-02-1977 05:20:00 AM,58.3333,2.3167,80,7.723144789959067,0.0,1
36,NS-IBTS,1977,1,22-02-1977 08:10:00 AM,58.3333,1.6,109,9.40596844131406,26.86380678720579,1
37,NS-IBTS,1977,1,22-02-1977 11:25:00 AM,58.45,0.8167,142,2.020839532929271,64.61885535885435,1
38,NS-IBTS,1977,1,22-02-1977 01:32:00 PM,58.6167,0.7667,146,2.2918039004811708,61.02120456420354,1
39,NS-IBTS,1977,1,22-02-1977 04:25:00 PM,58.7833,1.2167,107,8.570665144142326,14.800210094584047,1
40,NS-IBTS,1977,1,26-02-1977 05:25:00 AM,59.6167,-0.3333,133,0.1436295210030943,19.90459493217482,1
41,NS-IBTS,1977,1,26-02-1977 09:45:00 AM,59.2667,-0.4333,139,0.48694042387223424,9.327160099093295,1
42,NS-IBTS,1977,1,26-02-1977 12:40:00 PM,59.2333,-1.3333,109,0.0609505588593135,0.0,1
43,NS-IBTS,1977,1,26-02-1977 04:22:00 PM,59.0667,-2.0333,72,0.864590746787477,16.02770078953984,1
44,NS-IBTS,1977,1,27-02-1977 05:20:00 AM,59.4167,-3.8333,144,0.6888409370069357,4.652447004064695,1
45,NS-IBTS,1977,1,27-02-1977 02:35:00 PM,59.7667,-2.6667,83,0.0,0.0,1
46,NS-IBTS,1977,1,27-02-1977 05:35:00 PM,59.7667,-1.9167,108,0.0,211.98471674720972,1
