,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Pleuronectes_platessa_juvenile,Pleuronectes_platessa_adult,YearQuarter
4999,NS-IBTS,1991,1,07-01-1991 03:19:00 PM,51.0833,2.0333,30,0.7365358297596336,7.674362174178122,1
5020,NS-IBTS,1991,1,08-01-1991 07:45:00 AM,53.3,3.85,23,0.543390811768565,2.0228430542135647,1
5021,NS-IBTS,1991,1,08-01-1991 08:46:00 AM,53.3333,4.0167,24,1.8303951256696427,4.512288624923931,1
5022,NS-IBTS,1991,1,08-01-1991 11:15:00 AM,53.5333,4.1167,28,0.5868679240358172,0.3564010543413025,1
5023,NS-IBTS,1991,1,08-01-1991 02:17:00 PM,53.85,4.6833,38,1.3489402340034267,11.94201555607555,1
5039,NS-IBTS,1991,1,10-01-1991 08:30:00 AM,55.2833,4.5167,45,0.0,1.5498076228524131,1
5040,NS-IBTS,1991,1,10-01-1991 09:46:00 AM,55.3667,4.7,45,0.0,2.745956059507259,1
5041,NS-IBTS,1991,1,10-01-1991 12:48:00 PM,55.6333,5.25,47,0.0,0.3564010543413025,1
5042,NS-IBTS,1991,1,10-01-1991 02:42:00 PM,55.7833,5.6,47,0.21447908687425105,7.6619072207830285,1
5054,NS-IBTS,1991,1,11-01-1991 07:38:00 AM,56.0167,5.7333,48,0.0,1.236206928195253,1
5055,NS-IBTS,1991,1,11-01-1991 08:42:00 AM,56.0833,5.8667,45,0.16052814571723564,2.7018808660488656,1
5056,NS-IBTS,1991,1,11-01-1991 09:49:00 AM,56.1333,6.05,45,0.24551194325321124,2.260138855354262,1
5057,NS-IBTS,1991,1,11-01-1991 12:36:00 PM,56.15,6.6167,37,0.1861944185807831,2.8624567381901325,1
5058,NS-IBTS,1991,1,11-01-1991 03:01:00 PM,55.9333,6.5333,38,0.0,10.016639195679003,1
5075,NS-IBTS,1991,1,12-01-1991 07:35:00 AM,55.8833,6.9,35,0.3310119502537179,9.919314791785625,1
5076,NS-IBTS,1991,1,12-01-1991 08:40:00 AM,55.9167,7.0333,29,0.362044806632678,9.748371362862416,1
5077,NS-IBTS,1991,1,12-01-1991 09:56:00 AM,56.0167,7.1167,27,0.0,6.735265174911119,1
5078,NS-IBTS,1991,1,12-01-1991 12:34:00 PM,56.1,7.6,28,0.0,9.038820710528407,1
5079,NS-IBTS,1991,1,12-01-1991 02:48:00 PM,55.8333,7.5667,16,12.159651832325437,18.928659324303936,1
5103,NS-IBTS,1991,1,13-01-1991 07:29:00 AM,54.1333,8.0667,22,0.6288229442367916,1.3644886872129685,1
5104,NS-IBTS,1991,1,13-01-1991 08:32:00 AM,54.0833,7.95,32,0.4566801809854865,5.926912987725768,1
5105,NS-IBTS,1991,1,13-01-1991 09:46:00 AM,54.0333,7.7667,35,0.15686803468946675,4.574080560408406,1
5106,NS-IBTS,1991,1,13-01-1991 12:39:00 PM,53.9667,7.2667,25,1.3908814184736338,3.4444043126939023,1
5107,NS-IBTS,1991,1,13-01-1991 12:53:00 PM,53.1167,1.75,32,0.03911515218088306,1.5121314493074989,1
5108,NS-IBTS,1991,1,13-01-1991 02:47:00 PM,53.85,7.0167,20,1.6290057640443063,0.0,1
5129,NS-IBTS,1991,1,14-01-1991 07:35:00 AM,54.2333,6.7167,35,0.31242464003111514,0.3564010543413025,1
5130,NS-IBTS,1991,1,14-01-1991 09:32:00 AM,54.0833,6.4167,30,0.21881078729039793,3.6352004782025555,1
