,Unnamed: 0,Survey,Year,ShootLat,ShootLong,DateTime,Clupea_harengus_JUV,Clupea_harengus_SA,Clupea_harengus_LA
21265,21265,NS-IBTS,2017,60.5414,2.3369,2017-06-02 08:12:00,0.0,0.0,1.2655728540446871
13904,13904,NS-IBTS,2005,55.4202,1.6837,2005-01-24 07:51:00,0.0,0.0,0.5925289555502322
8024,8024,NS-IBTS,1995,58.3167,0.4833,1995-08-20 17:20:00,0.0,0.0,71.94332090998729
153,153,NS-IBTS,1977,55.8833,1.8333,1977-05-02 12:45:00,0.0,0.2466682025080269,0.08819024756960503
21319,21319,NS-IBTS,2018,52.2226,2.3654,2018-11-08 08:29:00,0.0,0.0,166.31506769796502
17429,17429,NS-IBTS,2011,56.9483,3.2383,2011-12-02 07:28:00,0.0,0.0,0.18763030346707105
19645,19645,NS-IBTS,2015,55.3443,-0.1054,2015-09-02 07:33:00,1220.9044500682314,13.212841964165408,7.752967242681358
15378,15378,NS-IBTS,2007,60.15,0.7833,2007-12-07 11:12:00,0.0,0.0,132.04204164758966
18183,18183,NS-IBTS,2012,58.755,1.6067,2012-09-07 09:37:00,0.0,0.0,51.84415859965239
8797,8797,NS-IBTS,1997,54.2333,6.5333,1997-02-19 07:11:00,3257.102603520283,2.7498043648392225,0.0
3153,3153,NS-IBTS,1986,54.1333,8.25,1986-02-13 09:50:00,84508.72714124758,0.0,7.3078898557290115
14905,14905,NS-IBTS,2007,51.7357,1.7433,2007-11-08 06:57:00,1636.3561677435641,0.5247676067150348,0.07395438398519869
4674,4674,NS-IBTS,1989,57.75,2.6,1989-02-16 08:38:00,0.0,0.2637311664301588,28.95387073559943
18862,18862,NS-IBTS,2013,60.975,2.029,2013-08-15 04:52:00,0.0,0.0,21.041920669794372
17392,17392,NS-IBTS,2011,56.5685,-2.0666,2011-03-02 15:01:00,0.0,29.786922867863048,144.18045773270327
6405,6405,NS-IBTS,1993,52.45,3.9333,1993-09-21 12:44:00,0.0,0.0,1.1987824413810906
15595,15595,NS-IBTS,2008,55.3352,-0.1728,2008-08-02 07:28:00,0.0,0.2896419418193881,0.1617217497965788
18728,18728,NS-IBTS,2013,58.2712,11.3163,2013-08-26 10:17:00,44.377270838116665,0.050297028016480866,0.0
21737,21737,NS-IBTS,2018,58.601000000000006,-0.9329999999999999,2018-07-02 13:27:00,0.0,0.0,2.1803156451460675
6789,6789,NS-IBTS,1993,57.25,0.5667,1993-08-20 09:14:00,0.0,0.0,2030.7999650112786
12867,12867,NS-IBTS,2003,57.6205,2.1963,2003-01-31 15:09:00,0.0,0.0,5.143829105689184
